Business Name,Address,Place ID,Category Query,City
WineStyles of West Des Moines,"5515 Mills Civic Pkwy Suite 120, West Des Moines, IA 50266, United States",ChIJwRAOnUog7IcRcIzJdNiLrIw,winery,"West Des Moines, IA"
Carper Vineyard and Winery,"4603 Dakota St, Norwalk, IA 50211, United States",ChIJKxQkXsmg7ocROaV0TeixWL8,winery,"West Des Moines, IA"
Covered Bridges Winery,"2207 170th Trail, Winterset, IA 50273, United States",ChIJLSm0aqES7IcRFicE4temfRw,winery,"West Des Moines, IA"
Vines to Wines,"684 20th St, Des Moines, IA 50314, United States",ChIJifTDMCKZ7ocRbX4iJD-jv3w,winery,"West Des Moines, IA"
Summerset Winery,"15101 Fairfax St, Indianola, IA 50125, United States",ChIJLRp_pbe77ocRxDluYhF9NM8,winery,"West Des Moines, IA"
Winchester Public House,"224 5th St, West Des Moines, IA 50265, United States",ChIJawoNi7Kf7ocRO3PPPcqYkSg,winery,"West Des Moines, IA"
The Cellar Winery,"2183 320th St, Madrid, IA 50156, United States",ChIJKxA7JrCJ7ocRiOJk0xPsQNM,winery,"West Des Moines, IA"
The Cave DSM,"1437 Walnut St, Des Moines, IA 50309, United States",ChIJg_22k7KZ7ocRLpV-QK0X2u0,winery,"West Des Moines, IA"
The Foundry in Valley Junction,"111 S 11th St Suite 100, West Des Moines, IA 50265, United States",ChIJkTZLUrqf7ocRg7EWmpURn9I,winery,"West Des Moines, IA"
Barn Town Brewing,"9500 SE University Ave Suite 1110, West Des Moines, IA 50266, United States",ChIJfRI1e-kj7IcRdVdMbQdfq2o,winery,"West Des Moines, IA"
Louie's Wine Dive,"4040 University Ave suite a, Des Moines, IA 50311, United States",ChIJT2noK8ae7ocRXziEOpW5tc0,winery,"West Des Moines, IA"
Madison County Winery,"3021 St Charles Rd, St Charles, IA 50240, United States",ChIJAYVWFXEG7IcRK9wK1WJ-cZk,winery,"West Des Moines, IA"
Ingersoll Wine & Spirits,"3500 Ingersoll Ave, Des Moines, IA 50312, United States",ChIJ_bYH7tSe7ocRB3OBm9Ying8,winery,"West Des Moines, IA"
